Bin,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor,numerator_markov
0.0,0.33365126402216044,0.3574837545945801,0.35227854663902397,0.33449478260416154,0.3414637342688187
1.0,0.22528427793563074,0.27132696200553036,0.31146289521702075,0.24284292639106078,0.25927351336513144
2.0,0.20808508830166977,0.2509465866134589,0.30104787047114917,0.23277656451061382,0.19695426099063315
3.0,0.1926866859945209,0.2341423180686024,0.29158069912204515,0.22333174815131385,0.1496796552089606
4.0,0.1788631937510126,0.22019901985275314,0.282929591287927,0.21446494780935324,0.11380120012232052
5.0,0.16641915017512468,0.20854987420103605,0.27498315977899607,0.20613578167433885,0.08655937366147395
6.0,0.15518531697521504,0.19874463377290447,0.26764710009144244,0.19830678562592768,0.06586597103107972
7.0,0.14501506837693035,0.19042488893850631,0.260841429585743,0.19094320012722332,0.050140005441119274
8.0,0.13578128169667694,0.18330475223073214,0.2544981893188201,0.18401277276933417,0.03818392037586006
9.0,0.1273736593420466,0.17715573594670128,0.24855952894896532,0.1774855753135076,0.02909016058056127
10.0,0.11969642221581829,0.17179488349415467,0.2429761090717414,0.17133383416246592,0.022170618947323213
11.0,0.11266632285795941,0.1670754318387573,0.23770576681287608,0.16553177327148355,0.01690333029683594
12.0,0.10621093385380066,0.16287944783125788,0.23271239994217724,0.1600554685828237,0.012892175210411203
13.0,0.10026717322839658,0.15911200770672088,0.22796503254309744,0.15488271313482924,0.009836403137269818
14.0,0.09478003387656374,0.15569658601760292,0.22343703167307402,0.1499928920596352,0.0075075704719642965
15.0,0.08970148866532378,0.1525713947570328,0.21910544972414644,0.14536686674150998,0.005732080925946747
16.0,0.08498954679385289,0.14968647079161249,0.21495047154186572,0.14098686746157812,0.0043779608257832996
17.0,0.08060744039453943,0.14700135400014014,0.21095494894755545,0.1368363939044529,0.0033448373325987253
18.0,0.07652292328396136,0.14448323277454692,0.20710400826954425,0.13290012294839873,0.002556340277751459
19.0,0.07270766629044195,0.1421054601139092,0.20338471893393467,0.1291638232033291,0.001954338827009225
20.0,0.06913673575205967,0.13984636420706267,0.19978581318587413,0.125614275800474,0.0014945678986165631
21.0,0.06578814364441547,0.13768829350861622,0.19629744868299037,0.12223920097415805,0.001143307725583267
22.0,0.0626424594031299,0.13561684890260198,0.19291100708515696,0.1190271900100295,0.000874861857509717
23.0,0.05968247488813261,0.13362026541108268,0.18961892290964233,0.11596764216547445,0.000669640778131483
24.0,0.056892915126457666,0.131688913651116,0.18641453786956572,0.11305070619702397,0.0005127050909202427
25.0,0.05426018849427135,0.12981489734160453,0.18329197670065764,0.11026722615648468,0.0003926576013174195
26.0,0.05177217088030478,0.12799172797365446,0.18024604113477302,0.10760869114245854,0.0003008003921038866
27.0,0.049418019131595166,0.1262140615640628,0.17727211922162714,0.10506718871700761,0.00023049325266107966
28.0,0.047188009735550415,0.1244774854285057,0.17436610765192126,0.10263536171860524,0.00017666517102861947
29.0,0.04507339925454861,0.12277834530763551,0.17152434511114906,0.10030636822231928,0.00013544222788007036
30.0,0.043066303513229265,0.1211136050870876,0.16874355500690516,0.09807384441651441,0.00010386404857744595
31.0,0.04115959295522438,0.11948073287406283,0.1660207961741699,0.09593187018234786,7.966765686912833e-05
32.0,0.03934680194469333,0.11787760840912766,0.16335342038165762,0.09387493717806397,6.112264824439425e-05
33.0,0.0376220500967405,0.11630244776531157,0.1607390356451962,0.09189791924466392,4.6905453200840814e-05
34.0,0.03597997398655575,0.1147537420671795,0.15817547450728747,0.08999604496302122,3.600338636996986e-05
35.0,0.03441566781590821,0.11323020758951442,0.1556607665704717,0.08816487220501111,2.7641400395867064e-05
36.0,0.032924631812589464,0.11173074509956611,0.15319311468001984,0.08640026453279905,2.1226153180441692e-05
37.0,0.03150272730797524,0.11025440671305771,0.15077087424222388,0.08469836931115328,1.63032820379172e-05
38.0,0.030146137583868197,0.10880036886180912,0.14839253524098328,0.0830555974075782,1.2524755810592422e-05
39.0,0.028851333705481957,0.10736791023544624,0.14605670657985517,0.08146860436426247,9.62391993498769e-06
40.0,0.027615044665652396,0.10595639377360594,0.14376210243119003,0.07993427293435515,7.396415845611078e-06
41.0,0.026434231258549597,0.1045652519581951,0.14150753032004876,0.07844969688297508,5.685587498008218e-06
42.0,0.02530606318140537,0.1031939747955419,0.13929188070963563,0.07701216596066757,4.371316486296817e-06
43.0,0.024227898931868795,0.10184209999202436,0.137114117888112,0.0756191519637939,3.3614777654721112e-06
44.0,0.023197268128106317,0.10050920491907547,0.1349732719848184,0.07426829580261067,2.585399019635895e-06
45.0,0.02221185593001037,0.09919490003844002,0.132868431967907,0.0729573955036062,1.988852428540362e-06
46.0,0.021269489284016223,0.0978988235194943,0.13079873949583107,0.0716843950780432,1.5302187667107691e-06
47.0,0.020368124752045393,0.09662063683000112,0.1287633835125994,0.07044737419364255,1.1775486333781857e-06
48.0,0.019505837717841222,0.09536002112200052,0.12676159549163807,0.0692445385909623,9.063104089285104e-07
49.0,0.018680812792175067,0.0941166742673765,0.12479264524590046,0.06807421119030416,6.976640256073946e-07
50.0,0.017891335262708544,0.09289030842438852,0.12285583723284497,0.06693482383894495,5.371374541716713e-07
51.0,0.017135783455241967,0.09168064803825896,0.1209505072923386,0.0658249096521621,4.1361170868755974e-07
52.0,0.016412621891129135,0.09048742819668326,0.1190760197636644,0.06474309590492563,3.185422666145958e-07
53.0,0.015720395141195484,0.08931039327562751,0.11723176493481434,0.06368809743428146,2.453616983757109e-07
54.0,0.015057722289907817,0.08814929582260884,0.11541715678328945,0.06265871051537122,1.8902122642827072e-07
55.0,0.014423291935106122,0.08700389563430899,0.11363163097285554,0.0616538071767413,1.4563882462568889e-07
56.0,0.013815857658579097,0.08587395899325444,0.11187464307522293,0.06067232992310018,1.1222903917972799e-07
57.0,0.013234233911365087,0.08475925803473411,0.11014566698953912,0.05971328683600796,8.649550871017889e-08
58.0,0.012677292265080202,0.08365957022038428,0.1084441935359833,0.05877574702513388,6.667159976873353e-08
59.0,0.01214395798697742,0.08257467789916607,0.1067697292027085,0.0578588364047141,5.1397974581102156e-08
60.0,0.011633206901968484,0.08150436793997196,0.10512179502794781,0.0569617337716897,3.962851322506589e-08
61.0,0.011144062509611878,0.08044843142296745,0.10349992560134023,0.05608366716371904,3.0558009376258104e-08
62.0,0.01067559332819279,0.07940666337911904,0.1019036681704849,0.055223910476846154,2.3566589630508072e-08
63.0,0.010226910441583147,0.07837886256927803,0.10033258184043622,0.05438178032407832,1.8176980300898586e-08
64.0,0.009797165227649163,0.07736483129575757,0.09878623685534169,0.05355663311749002,1.4021645950742949e-08
65.0,0.009385547249636753,0.07636437524062241,0.09726421395272622,0.05274786235773412,1.0817514655791306e-08
66.0,0.00899128229427066,0.07537730332596096,0.09576610378206646,0.05195489611601298,8.346535019560053e-09
67.0,0.008613630542297846,0.07440342759226538,0.09429150638029724,0.05117719469464781,6.440716773613527e-09
68.0,0.008251884858934943,0.073442563091749,0.0928400306977677,0.05041424845339133,4.970619095382879e-09
69.0,0.007905369193178542,0.07249452779400357,0.09141129416893307,0.049665575789561205,3.836490576436993e-09
70.0,0.007573437076237303,0.07155914250186926,0.09000492232274167,0.048930721260937345,2.9614489435973483e-09
71.0,0.007255470210474488,0.07063623077577402,0.08862054842827083,0.04820925384116695,2.2862301086776957e-09
72.0,0.006950877141230835,0.06972561886511487,0.08725781317168513,0.04750076529816492,1.7651448200359327e-09
73.0,0.006659092004751906,0.0688271356455093,0.08591636436104982,0.046804868686686166,1.3629647203996676e-09
74.0,0.006379573346187701,0.06794061256095774,0.08459585665593519,0.04612119694688456,1.0525238195196226e-09
75.0,0.0061118030022808125,0.06706588357012881,0.08329595131910349,0.04544940160126625,8.128707482852225e-10
76.0,0.0058552850439259185,0.06620278509612135,0.0820163159878833,0.04478915154299329,6.278451128801038e-10
77.0,0.00560954477427831,0.06535115597917238,0.08075662446311192,0.044140131909003184,4.8498045447913e-10
78.0,0.005374127778522752,0.06451083743187494,0.07951655651377051,0.043502043031881724,3.746587701533073e-10
79.0,0.005148599021794173,0.06368167299654698,0.0782957976956512,0.04287459946486396,2.894588219897448e-10
80.0,0.004932541992075604,0.06286350850445639,0.07709403918258545,0.04225752907474448,2.236537508626568e-10
81.0,0.004725557885193013,0.06205619203665884,0.07591097760893009,0.04165057219785405,1.728237385399645e-10
82.0,0.0045272648292856085,0.06125957388624762,0.07474631492215601,0.041053480854608956,1.3355733375487723e-10
83.0,0.004337297146359501,0.06047350652185012,0.07359975824451466,0.04046601801846293,1.0322111789891696e-10
84.0,0.00415530464873545,0.05969784455223324,0.07247101974287386,0.03988795693539191,7.978205188781538e-11
85.0,0.003980951968381499,0.05893244469190434,0.07135981650591558,0.03931908049031986,6.167043879003203e-11
86.0,0.0038139179172814903,0.05817716572761299,0.07026587042798026,0.0387591806171528,4.767420409259891e-11
87.0,0.00365389487713363,0.05743186848567453,0.06918890809892077,0.03820805774932685,3.685732709877364e-11
88.0,0.003500588216800778,0.0566964158000498,0.06812866069940082,0.03766552030799918,2.849689915993666e-11
89.0,0.003353715736048961,0.05597067248112514,0.06708486390113524,0.037131384225215947,2.2034549785943297e-11
90.0,0.0032130071342138713,0.05525450528514671,0.06605725777162415,0.03660547249958311,1.7038956774687632e-11
91.0,0.0030782035025275663,0.05454778288426883,0.06504558668298376,0.036087614782143236,1.3176908031525215e-11
92.0,0.002949056838922233,0.053850375837183224,0.06404959922451864,0.03557764699032556,1.0190962047989231e-11
93.0,0.0028253295842036743,0.05316215656030012,0.06306904811871936,0.035075410947989834,7.882200605974054e-12
94.0,0.002706794178556608,0.05248299929945621,0.06210369014040409,0.03458075404972548,6.096911610767541e-12
95.0,0.0025932326374073374,0.05181278010212804,0.06115328603875193,0.03409352894769962,4.7163054821175684e-12
96.0,0.0024844361457267167,0.051151376790132,0.06021760046200398,0.03361359325946879,3.648573310309326e-12
97.0,0.002380204669909946,0.05049866893279388,0.059296401884630666,0.03314080929528291,2.822752931186825e-12
98.0,0.002280346586417994,0.049854537820573704,0.05838946253678591,0.03267504380351472,2.183990914356435e-12
99.0,0.002184678326410919,0.04921886643913199,0.05749655833588711,0.03221616773294536,1.6898824573245347e-12
100.0,0.002093024035644478,0.048591539443825875,0.05661746882017647,0.03176405601072727,1.3076437054303656e-12
101.0,0.002005215248940402,0.04797244313462389,0.05575197708413405,0.03131858733492961,1.0119269839358427e-12
102.0,0.0019210905785763991,0.04736146543142942,0.05489986971562631,0.030879643980648817,7.831326206477274e-13
103.0,0.00184049541597505,0.046758495849803634,0.05406093673468527,0.030447111618740075,6.061043743587839e-13
104.0,0.001763281646102425,0.04616342547707883,0.05323497153382334,0.030020879146291417,4.691212175482065e-13
105.0,0.001689307374015874,0.04557614694885457,0.052421770819799526,0.02960083852802562,3.6311808755872066e-13
106.0,0.001618436663028057,0.044996554425868446,0.0516211345567588,0.0291868846478721,2.810835582359897e-13
107.0,0.001550539283979666,0.04442454357123445,0.05083286591067595,0.02877891517000498,2.1759422702427507e-13
108.0,0.001485490475137641,0.043860011528041885,0.05005677119503952,0.0283768304086933,1.6845475794723615e-13
109.0,0.001423170712258128,0.043302856897307986,0.049292659817719214,0.027980533206355664,1.3041958388933505e-13
110.0,0.001363465488374924,0.0427529797162782,0.04854034422896365,0.027589928819254466,1.0097772682672366e-13
111.0,0.001306265102894402,0.04221028143706749,0.04779963987048099,0.027204924810304773,7.818640850082785e-14
112.0,0.0012514644595969572,0.04167466490563696,0.04707036512555853,0.026825430948510035,6.054237926865039e-14
113.0,0.0011989628731633002,0.04114603434109987,0.04635234127018118,0.026451359114571124,4.688240779744817e-14
114.0,0.00114866388386059,0.04062429531535137,0.045645392425111904,0.02608262321224706,3.630631742901298e-14
115.0,0.001100475080040403,0.04010935473301644,0.04494934550890009,0.025719139085075796,2.8117456544312694e-14
116.0,0.00105430792811541,0.039601120811710806,0.0442640301917866,0.02536082443809034,2.177665059213604e-14
117.0,0.001010077609696554,0.03909950306260932,0.04358927885047645,0.025007598764191882,1.6866580201597663e-14
118.0,0.00096770286558645,0.03860441227131687,0.0429249265237518,0.024659383274864673,1.3064222907571874e-14
119.0,0.000927105846338087,0.03811576047903677,0.04227081086890069,0.024316100834939763,1.0119531770165348e-14
120.0,0.000888211969100621,0.03763346096403161,0.04162677211893761,0.02397767590113545,7.838938321823054e-15
121.0,0.00085094978048581,0.037157428223371924,0.0409926530405941,0.023644034464120684,6.072587452866023e-15
122.0,0.000815250825200677,0.03668757795496777,0.04036829889305906,0.02331510399386628,4.7044593909746866e-15
123.0,0.0007810495202024311,0.036223827039878614,0.039753557387448984,0.022990813388064177,3.644725333458024e-15
124.0,0.000748283034142633,0.0357660935248972,0.03914827864699003,0.022671092923411452,2.8238312964628e-15
125.0,0.000716891171877101,0.035314296605402584,0.03855231516789497,0.022355874209568714,2.1879192007653008e-15
126.0,0.000686816263828149,0.03486835660847818,0.03796552178091798,0.022045090145616873,1.695282730828476e-15
127.0,0.0006580030599943789,0.034428194976290516,0.03738775561357241,0.021738674878847685,1.3136239654939736e-15
128.0,0.0006303986284122829,0.033993734249724336,0.03681887605299628,0.021436563765735425,1.0179297326141969e-15
129.0,0.000603952257882212,0.033564898052269976,0.03625874470945152,0.021138693334947157,7.888276016645023e-16
130.0,0.000578615364778989,0.03314161107415905,0.035707225380443394,0.020845001252259333,6.113131158343681e-16
131.0,0.000554341403775478,0.03272379905674409,0.03516418401544729,0.020555426287257376,4.737643797065316e-16
132.0,0.00053108578231434,0.03231138877711864,0.034629488681230114,0.02026990828170343,3.6717908528144886e-16
133.0,0.000508805778670368,0.03190430803297352,0.03410300952775471,0.01998838811946538,2.8458373429711842e-16
134.0,0.000487460463452387,0.031502485627685824,0.03358461875465547,0.019710807697907607,2.2057617023926063e-16
135.0,0.00046701062440022403,0.031105851355636607,0.03307419057827416,0.019437109900650822,1.709713206516246e-16
136.0,0.000447418694338096,0.030714335987753638,0.032571601199245084,0.0191672385716145,1.3252685060204906e-16
137.0,0.000428648682151926,0.030327871257275794,0.03207672877061937,0.018901138490261652,1.0273069104476321e-16
138.0,0.000410666106663413,0.029946389845735343,0.03158945336651803,0.018638755347970694,7.963647914023992e-17
139.0,0.000393437933279322,0.029569825369154704,0.031109656951304035,0.01838003572546494,6.173610040851415e-17
140.0,0.000376932513299163,0.029198112364454118,0.03063722334926427,0.0181249270712343,4.786096305893688e-17
141.0,0.00036111952576995196,0.02883118627606712,0.030172038214791464,0.01787337768088862,3.710552401259483e-17
142.0,0.00034596992178082204,0.02846898344276009,0.02971398900305764,0.017625336677386208,2.876804862918857e-17
143.0,0.000331455871095146,0.02811144108465312,0.029262964941169946,0.017380753992084608,2.2304718396452428e-17
144.0,0.000317550711022032,0.027758497290438434,0.02881885699980064,0.017139580346564563,1.7294077458408753e-17
145.0,0.000304228897433153,0.027410091004793653,0.02838155786528248,0.016901767235181303,1.3409487597912866e-17
146.0,0.00029146595783488,0.027066162015986533,0.027950961912161655,0.016667266908300237,1.0397786843601611e-17
147.0,0.000279238446409432,0.02672665094366824,0.027526965176200225,0.016436032356177285,8.06275383445532e-18
148.0,0.00026752390094236903,0.02639149922685204,0.0271094653278202,0.01620801729344648,6.252295222807474e-18
149.0,0.000256300801557285,0.026060649112074678,0.026698361645981696,0.015983176144180038,4.848517455502375e-18
150.0,0.000245548531181864,0.02573404364173718,0.026293554992487658,0.015761464027488466,3.760033287930978e-18
